island,season,n_long_rows,n_plants,n_pollinators,n_positive_links,total_visitation_rate,binary_connectance,interaction_shannon,interaction_evenness,effective_number_interactions,mean_pollinator_richness_per_plant,median_pollinator_richness_per_plant,mean_effective_pollinator_number_per_plant,mean_plant_niche_overlap_morisita_horn,mean_pollinator_niche_overlap_morisita_horn,habitat,anole_context
A_Chichijima,,411,21,24,62,1006.0,0.12301587301587301,2.940942296259264,0.7125869966618817,18.933679044014596,2.9523809523809526,2,1.9060260196328795,0.48327569454669017,0.16043266144975082,Natural,
B_Hahajima,,392,14,39,79,701.0,0.1446886446886447,3.518182962146752,0.8051779265795244,33.723096616499085,5.642857142857143,5.0,3.198719230582579,0.18915415932830262,0.16074004883680046,Disturbed,
B_Hahajima,,369,20,46,81,534.0,0.08804347826086957,3.489811387443086,0.7941408045949312,32.779764447942576,4.05,4.0,2.5537242015029697,0.19010821746873866,0.08241229007738092,Natural,
C_Anijima,,724,16,53,119,1302.0,0.1403301886792453,3.8272765612696142,0.8008323214049865,45.937260404248,7.4375,5.5,4.128086092913176,0.19982304203969511,0.17995356305129165,Natural,
D_Ototojima,,444,13,47,96,1142.0,0.15711947626841244,3.5939968387777577,0.7874063695438569,36.37918748679498,7.384615384615385,4,3.8279739362833327,0.09476880083232853,0.1871653041323353,Natural,
A_Chichijima,,791,30,38,100,2024.0,0.08771929824561403,3.1744314980071904,0.6893190413821981,23.913221289374246,3.3333333333333335,2.5,1.9582226164388574,0.5345581956399476,0.12516071798355816,,Presence
B_Hahajima,,761,31,66,153,1235.0,0.0747800586510264,4.157185868793558,0.8264063554218041,63.89147039283575,4.935483870967742,4,2.915783959095114,0.15838365787482456,0.08461990781348971,,Presence
C_Anijima,,442,12,37,80,878.0,0.18018018018018017,3.4384044148133914,0.7846607749040494,31.13723639804962,6.666666666666667,6.0,3.4842496346494634,0.19586613724233118,0.1836153027198182,,Absence
C_Anijima,,282,12,35,62,424.0,0.14761904761904762,3.405503020354901,0.8251495354003825,30.12944763818156,5.166666666666667,5.0,3.477136265819079,0.19716520071909152,0.18722336355495267,,Presence
D_Ototojima,,444,13,47,96,1142.0,0.15711947626841244,3.5939968387777577,0.7874063695438569,36.37918748679498,7.384615384615385,4,3.8279739362833327,0.09476880083232853,0.1871653041323353,,Absence
A_Chichijima,A_MAY,219,11,21,34,619.0,0.1471861471861472,2.1904107683462453,0.6211533826606308,8.938884171338536,3.090909090909091,2,1.745022167000274,0.794864063868754,0.2127462028027684,Disturbed,Presence
A_Chichijima,A_MAY,190,14,21,43,347.0,0.14625850340136054,3.0014553183298585,0.7980046862718956,20.114789053654977,3.0714285714285716,2.0,2.043662641735577,0.26900756413145455,0.21395629884201603,Natural,Presence
A_Chichijima,B_JULY,88,9,12,22,215.0,0.2037037037037037,2.0893110237492634,0.6759244026167598,8.079346768234227,2.4444444444444446,2,1.5723269911659772,0.3144911397931048,0.19028169107144116,Disturbed,Presence
A_Chichijima,B_JULY,109,10,7,18,215.0,0.2571428571428571,1.991427644872173,0.6889866811879202,7.325985205271861,1.8,1.0,1.5624361798384379,0.7729798623527362,0.2748844421378792,Natural,Presence
A_Chichijima,C_SEP,73,4,5,8,184.0,0.4,1.1523354644208015,0.5541562199867903,3.1655773765877466,2.0,1.0,1.5811646600774636,0.5711743772241993,0.6063361801612672,Disturbed,Presence
A_Chichijima,C_SEP,112,6,6,13,444.0,0.3611111111111111,1.4140865260786337,0.5513116748153336,4.11272787988548,2.1666666666666665,2.0,1.2471803808384514,0.767719036445929,0.3357419197336523,Natural,Presence
B_Hahajima,A_MAY,189,8,23,38,258.0,0.20652173913043478,2.7393902120827667,0.7530791276951692,15.477544198719006,4.75,4.5,2.950173119497114,0.14298756625268066,0.25876217596860873,Disturbed,Presence
B_Hahajima,A_MAY,211,9,25,41,308.0,0.18222222222222223,2.55745091570263,0.6886767968319776,12.90288481843848,4.555555555555555,4,2.4789279095490047,0.2141755064506221,0.15552801626039325,Natural,Presence
B_Hahajima,B_JULY,169,10,21,40,395.0,0.19047619047619047,2.875839600852656,0.7795970664331261,17.74031265200457,4.0,3.5,2.639971238596863,0.12746967996732914,0.17637765135244904,Disturbed,Presence
B_Hahajima,B_JULY,124,10,17,30,163.0,0.17647058823529413,2.9331513019427766,0.8623878513364472,18.786740002073714,3.0,3.0,2.2613709617096704,0.22990436435748127,0.13321356553698033,Natural,Presence
B_Hahajima,C_SEP,34,6,10,14,48.0,0.23333333333333334,2.0246586227904486,0.7671900871837516,7.573525074427005,2.3333333333333335,1.5,1.7329002557247988,0.11807230307230307,0.2867341058142946,Disturbed,Presence
B_Hahajima,C_SEP,34,6,13,15,63.0,0.19230769230769232,2.173019949010264,0.8024297142371357,8.784773590373623,2.5,2.0,1.8147384982908126,0.01288696142726183,0.2153846153846154,Natural,Presence
C_Anijima,A_MAY,220,7,21,39,432.0,0.2653061224489796,2.814733310155304,0.7683051582137063,16.68872447346053,5.571428571428571,5,2.7852747224494365,0.2978660673232529,0.2512217774980763,Natural,Absence
C_Anijima,A_MAY,98,7,21,34,189.0,0.23129251700680273,2.86198694758181,0.8115979428658482,17.496256566852846,4.857142857142857,4,3.393095299130873,0.3324298582756747,0.28729063951764106,Natural,Presence
C_Anijima,B_JULY,118,4,15,20,218.0,0.3333333333333333,1.9638519264015135,0.6555498779841549,7.126725885754986,5.0,3.5,2.6278143686948496,0.08322072383750943,0.5333769854880127,Natural,Absence
C_Anijima,B_JULY,101,5,14,20,140.0,0.2857142857142857,2.4589575826572205,0.8208202062529549,11.692616598651068,4.0,3,3.207340842759499,0.17583685103753613,0.31063969756195214,Natural,Presence
C_Anijima,C_SEP,104,5,19,30,228.0,0.3157894736842105,2.6095055228645716,0.7672314276536676,13.59232809438307,6.0,5,3.7779514543002763,0.1672626697877436,0.2950622397366683,Natural,Absence
C_Anijima,C_SEP,83,6,14,19,95.0,0.2261904761904762,2.4117462968792305,0.8190851683270363,11.15342133335404,3.1666666666666665,3.5,2.4799990114901425,0.16079638216412048,0.22068080443090146,Natural,Presence
D_Ototojima,A_MAY,171,8,26,46,316.0,0.22115384615384615,3.2005972853870746,0.8359616255317243,24.54718749576345,5.75,5.0,3.3227533663026594,0.18638602919599487,0.3103863316944462,Natural,Absence
D_Ototojima,B_JULY,168,8,34,49,581.0,0.1801470588235294,2.9759201212620336,0.7646602086706733,19.607656373521273,6.125,6.0,3.5193708570445157,0.05606581623294371,0.17743952073375738,Natural,Absence
D_Ototojima,C_SEP,105,5,9,13,245.0,0.28888888888888886,1.649966853012376,0.6432746316072707,5.20680723434444,2.6,3,1.8571287988899734,0.08619928725422525,0.21805611339146405,Natural,Absence
