scenario_id,n_archipelagos,islands_per_archipelago,total_island_units,population_mean,between_archipelago_sd,within_archipelago_sd,naive_coverage,system_coverage,naive_positive_detection,system_positive_detection,naive_false_direction,system_false_direction,naive_mean_reported_se,system_mean_reported_se,naive_empirical_sd,system_empirical_sd,reported_se_ratio_naive_to_system
twelve_archipelagos,12,2,24,0.0,0.5,0.4,0.85575,0.9255,0.075,0.03775,0.14425,0.0745,0.12725239374715913,0.16244473145564736,0.16635766783839942,0.16635766783839942,0.7833580849736769
twentyfour_archipelagos_shallow,24,1,24,0.0,0.5,0.4,0.937,0.937,0.035,0.035,0.063,0.063,0.12921228157997325,0.12921228157997325,0.13036586270577585,0.13036586270577585,1.0
two_archipelagos_deep,2,12,24,0.3,0.0,0.4,0.94025,0.70875,0.95525,0.9035,0.0,0.0,0.0805896977706283,0.06536130778593079,0.08086284153202133,0.08086284153202133,1.2329878409803707
four_archipelagos,4,6,24,0.3,0.0,0.4,0.9415,0.8535,0.95825,0.9315,0.0,0.0,0.08073164361484476,0.07556818610568272,0.08092051170268603,0.08092051170268603,1.0683284563948763
eight_archipelagos,8,3,24,0.3,0.0,0.4,0.93925,0.911,0.951,0.9435,0.0,0.0,0.08087290717141478,0.07878057451399764,0.08061342296764852,0.08061342296764852,1.0265589921160752
twelve_archipelagos,12,2,24,0.3,0.0,0.4,0.9405,0.925,0.95375,0.95,0.0,0.0,0.08067429771593491,0.07962955071902665,0.0818476442190808,0.0818476442190808,1.0131200915674465
twentyfour_archipelagos_shallow,24,1,24,0.3,0.0,0.4,0.9415,0.9415,0.95425,0.95425,0.0,0.0,0.0809629490918617,0.0809629490918617,0.08093077361104098,0.08093077361104098,1.0
two_archipelagos_deep,2,12,24,0.3,0.2,0.4,0.69375,0.6975,0.78975,0.60925,0.00225,0.005,0.08560075077664982,0.12967819801258637,0.1619078700148879,0.1619078700148879,0.6601013284310253
four_archipelagos,4,6,24,0.3,0.2,0.4,0.80525,0.86,0.839,0.67425,0.00025,0.00025,0.08822634558274023,0.11855978194696459,0.12934994813845097,0.12934994813845097,0.7441507072120508
eight_archipelagos,8,3,24,0.3,0.2,0.4,0.8955,0.91725,0.87625,0.79075,0.0,0.0,0.08947082331334198,0.1043609252849515,0.10522414261187742,0.10522414261187742,0.8573211004889718
twelve_archipelagos,12,2,24,0.3,0.2,0.4,0.9155,0.92875,0.894,0.85325,0.0,0.0,0.08992660918295148,0.09807377181741282,0.09779020060823018,0.09779020060823018,0.9169282216490136
twentyfour_archipelagos_shallow,24,1,24,0.3,0.2,0.4,0.93725,0.93725,0.89975,0.89975,0.0,0.0,0.0902853742265051,0.0902853742265051,0.09223674419461945,0.09223674419461945,1.0
two_archipelagos_deep,2,12,24,0.3,0.5,0.4,0.4215,0.7045,0.59525,0.33725,0.08375,0.04325,0.10543467943607746,0.2910105840255586,0.36811885814429945,0.36811885814429945,0.36230530854787546
four_archipelagos,4,6,24,0.3,0.5,0.4,0.59325,0.849,0.60425,0.31175,0.0255,0.00875,0.11744955056957698,0.23994632806069047,0.26420247890602855,0.26420247890602855,0.4894825918730878
eight_archipelagos,8,3,24,0.3,0.5,0.4,0.7815,0.91575,0.61425,0.3825,0.00325,0.0015,0.12534817433860249,0.1892545235107575,0.19497773796391094,0.19497773796391094,0.6623259091161301
twelve_archipelagos,12,2,24,0.3,0.5,0.4,0.85625,0.92475,0.6095,0.45325,0.0005,0.0,0.12767062216908184,0.16318328073449387,0.16721433479333528,0.16721433479333528,0.7823756306064674
twentyfour_archipelagos_shallow,24,1,24,0.3,0.5,0.4,0.94225,0.94225,0.6405,0.6405,0.00025,0.00025,0.1296232016357367,0.1296232016357367,0.1299513709321452,0.1299513709321452,1.0
