gate_id,geographic_target,search_outcome,source_reference,source_verification,direct_evidence,full_chapter2_contract,further_source_work,global_confrontation_candidate,reason
thirdwave_guadeloupe,Guadeloupe,source_found_controlled_pollination_applied,"NOV'AE 2019 controlled pollination of Tabebuia heterophylla",authoritative_technical_article,"Controlled pollination work in Guadeloupe clone/seed-orchard context; applied breeding rather than natural island community transition",fail,true,false,"Retain as applied reproductive evidence only"
thirdwave_st_vincent,"Saint Vincent and the Grenadines",initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_trinidad,"Trinidad and Tobago",source_found_authoritative_data_gap,"BES-Net Trinidad and Tobago 2021-2024",authoritative_program_record,"National pollinator programme explicitly identifies local pollination-data gaps and compiles management/science activity; not a primary mechanism study",fail,true,false,"Useful for documenting knowledge gap, not mechanism"
thirdwave_abc,"ABC Islands",initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct native plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_bioko,Bioko,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination or breeding-system primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_madagascar,Madagascar,source_found_direct_pollination_network,"10.1002/j.1537-2197.1994.tb15483.x; 10.26786/1920-7603(2010)1",multiple_primary_sources_verified,"Direct lemur pollination of Ravenala plus a native-forest flower-visitation web provide strong island interaction evidence",fail,false,true,"Strong interaction breadth; no matched island colonization transition"
thirdwave_maldives,Maldives,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_chagos,Chagos Archipelago,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_cocos,"Cocos (Keeling) Islands",initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_christmas,Christmas Island,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_andaman,"Andaman and Nicobar Islands",source_found_breeding_cross_pollination,"Bentinckia nicobarica reproductive-biology bibliographic record recovered 2026-09-03",bibliographic_record_needs_primary_doi,"Endemic palm study directly targets floral phenology, breeding behaviour and reproductive success via cross-pollination",fail,true,true,"Promising direct reproductive evidence; primary article identity/source must be locked before promotion"
thirdwave_lakshadweep,Lakshadweep,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct flowering-plant pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_srilanka,Sri Lanka,source_found_direct_pollination_breeding,10.1086/521689,primary_article_verified,"Detailed pollination ecology and breeding system of endemic Xylopia championii, including beetle pollination",fail,false,true,"Strong direct pollination and breeding-system breadth"
thirdwave_taiwan,Taiwan,source_found_direct_breeding,10.1186/s40529-015-0091-9,primary_article_verified,"Lanyu/Orchid Island Psychotria cephalophora hand pollination and functional distyly directly measured",fail,false,true,"Strong oceanic-island breeding-system breadth"
thirdwave_philippines,Philippines,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying island-specific plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_kiribati,"Kiribati / Gilbert Islands",initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct native plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_nauru,Nauru,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct native plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_niue,Niue,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct native plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_wallis,"Wallis and Futuna",source_found_crop_reproductive_strategy,10.1007/s12231-025-09659-9,primary_article_verified,"Coconut controlled-pollination/germplasm work includes Wallis and Futuna but is crop breeding rather than native island-process evidence",fail,true,false,"Do not promote crop/germplasm work as natural-island mechanism evidence"
thirdwave_tuvalu,Tuvalu,source_found_crop_reproductive_strategy,10.1007/s12231-025-09659-9,primary_article_verified,"Coconut surveys and controlled-pollination framework include Tuvalu; crop/germplasm context only",fail,true,false,"Do not promote crop/germplasm work as natural-island mechanism evidence"
thirdwave_tokelau,Tokelau,initial_search_inconclusive,systematic web search 2026-09-03,search_documented,"No qualifying direct native plant-pollination/breeding primary source recovered in this pass",fail,true,false,"Keep as explicit coverage gap"
thirdwave_society,Society Islands,source_found_direct_brood_pollination_network,"10.1111/1365-2656.12841; 10.5061/dryad.1224pr2",primary_article_and_repository_verified,"Direct Glochidion-Epicephala brood-pollination networks on Tahiti, Moorea and Huahine with quantitative matrices",fail,false,true,"Strong direct mutualistic-network evidence; French Polynesia geography already exists in current 36"
thirdwave_marquesas,Marquesas Islands,source_found_breeding_system_indication,10.1093/aobpla/plv087,primary_article_verified,"Oceanic-island heterostyly review reports many Marquesas Psychotria as apparently homostylous; exact pollinator-transition evidence still needs local source recovery",fail,true,false,"Useful breeding-system lead but local mechanism source remains incomplete"
thirdwave_tuamotu,Tuamotu Archipelago,source_found_crop_reproductive_strategy,10.1007/s12231-025-09659-9,primary_article_verified,"Remote-atoll coconut diversity and controlled-pollination programme provides reproductive-strategy information but crop/germplasm context",fail,true,false,"Do not promote crop/germplasm work as natural-island mechanism evidence"
thirdwave_austral,Austral Islands,source_found_crop_reproductive_strategy,10.1007/s12231-025-09659-9,primary_article_verified,"French Polynesia coconut reproductive-strategy surveys include Austral Islands; crop/germplasm context",fail,true,false,"Do not promote crop/germplasm work as natural-island mechanism evidence"
thirdwave_gambier,Gambier Islands,source_found_crop_reproductive_strategy,10.1007/s12231-025-09659-9,primary_article_verified,"French Polynesia coconut programme covers Tuamotu-Gambier administration; no qualifying native pollination transition recovered",fail,true,false,"Keep nested native-process source gap explicit"
thirdwave_desventuradas,Desventuradas Islands,source_found_biogeography_not_pollination,"S1619003323000658; systematic search 2026-09-03",primary_article_verified,"Native/alien flora and biogeographic source data are direct, but no qualifying plant-pollination/breeding mechanism source recovered",fail,true,false,"Geography resolved, process axis unresolved"
thirdwave_tasmania,Tasmania,source_found_authoritative_breeding_pollination,"Tasmanian Forest Epacrids recovery plan; DCCEEW",authoritative_government_record,"Pollinators and experimental self/cross/pollinator-exclusion evidence reported for Epacris, but primary underlying experiment needs direct recovery",fail,true,false,"Authoritative evidence lead; primary mechanism source still required"
