insect,order,family,site_season_rows,site_count,season_count,mainland_site_count,izu_site_count,sites,proboscis_length_mm_status,fdq_admission
Carabidae sp.,coleoptera,Carabidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ceratina flavipes,hymenoptera,Apidae,3,2,2,1,1,tateyama|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ceratina iwatai,hymenoptera,Apidae,17,7,5,3,4,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ceratina japonica,hymenoptera,Apidae,15,7,5,3,4,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ceratina okinawana,hymenoptera,Apidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ceratina satoi,hymenoptera,Apidae,15,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Cerceris albofasciata,hymenoptera,Crabronidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Cerceris arenaria,hymenoptera,Crabronidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Cerceris hortivaga,hymenoptera,Crabronidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Cerceris nipponensis,hymenoptera,Crabronidae,1,1,1,0,1,kozu,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Chalcophora japonica,coleoptera,Buprestidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Chlorophorus annularis,coleoptera,Cerambycidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Chrysolina aurichalcea,coleoptera,Chrysomelidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Chrysotoxum baphyrum,diptera,Syrphidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Chrysotoxum shirakii,diptera,Syrphidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Cicindela japonica,coleoptera,Carabidae,1,1,1,0,1,niijima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Colias erate poliographus,lepidoptera,Pieridae,1,1,1,1,0,hitachinaka,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Colletes patellatus,hymenoptera,Colletidae,3,2,2,1,1,tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Colletes perforator,hymenoptera,Colletidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Copris ochus,coleoptera,Scarabaeidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Crocothemis servilia mariannae,orthoptera,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Cryptocephalus approximatus,coleoptera,Chrysomelidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Culex sp.,diptera,Culicidae,1,1,1,0,1,kozu,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Dacus orientalis,diptera,Tephritidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Deinacrida sp.,orthoptera,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Delia platura,diptera,Anthomyiidae,4,3,3,1,2,tateyama|niijima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Dolichovespula saxonica,hymenoptera,Vespidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ectemnius cavifrons,hymenoptera,Crabronidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ectemnius continuus,hymenoptera,Crabronidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Episyrphus balteatus,diptera,Syrphidae,16,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eristalinus sepulchralis,diptera,Syrphidae,2,2,2,1,1,tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eristalis cerealis,diptera,Syrphidae,4,4,2,2,2,hitachi|hitachinaka|niijima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eristalis tenax,diptera,Syrphidae,17,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eumerus japonicus,diptera,Syrphidae,3,3,2,1,2,tateyama|oshima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eupeodes bucculatus,diptera,Syrphidae,4,4,2,1,3,hitachi|oshima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eupeodes corollae,diptera,Syrphidae,4,4,2,2,2,hitachi|tateyama|kozu|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eupeodes latifasciatus,diptera,Syrphidae,2,2,1,0,2,oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Eurydema dominulus,hemiptera,Pentatomidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Euthalia nicea,lepidoptera,Nymphalidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Fannia sp.,diptera,Fanniidae,3,3,2,1,2,hitachinaka|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Forficula mikado,dermaptera,Forficulidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Fuceliinae sp.1,diptera,Anthomyiidae,13,7,5,3,4,hitachi|hitachinaka|tateyama|oshima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Graphium sarpedon nipponum,lepidoptera,Papilionidae,10,6,4,2,4,hitachi|hitachinaka|oshima|niijima|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Halictus aerarius,hymenoptera,Halictidae,7,5,3,2,3,hitachi|tateyama|oshima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Halictus tsingtouensis,hymenoptera,Halictidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Helophilus virgatus,diptera,Syrphidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Hemipenthes morio,diptera,Bombyliidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Hesperia comma florinda,lepidoptera,Hesperiidae,1,1,1,0,1,kozu,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Hybos grossipes,diptera,Hybotidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Hylaeus noomen,hymenoptera,Colletidae,15,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ichneumonidae sp.1,hymenoptera,Ichneumonidae,4,4,3,2,2,hitachinaka|tateyama|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Ischnura senegalensis,orthoptera,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Isopoda sp.1,isopoda,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Isopoda sp.2,isopoda,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lagria rufipennis,coleoptera,Tenebrionidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lampides boeticus,lepidoptera,Lycaenidae,12,8,4,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum affine,hymenoptera,Halictidae,6,5,3,2,3,hitachi|tateyama|oshima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum apristum,hymenoptera,Halictidae,4,4,2,2,2,hitachi|tateyama|oshima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum calceatum,hymenoptera,Halictidae,4,3,3,2,1,hitachi|tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum duplex,hymenoptera,Halictidae,18,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum frigidum,hymenoptera,Halictidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum japonicum,hymenoptera,Halictidae,16,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum nipponense,hymenoptera,Halictidae,2,2,2,0,2,oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum occidens,hymenoptera,Halictidae,22,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum proximatum,hymenoptera,Halictidae,5,5,2,2,3,hitachi|tateyama|oshima|kozu|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum sakagamii,hymenoptera,Halictidae,3,3,2,1,2,hitachi|oshima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum scitulum,hymenoptera,Halictidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lasioglossum villosulum,hymenoptera,Halictidae,12,7,4,3,4,hitachi|hitachinaka|tateyama|oshima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Leptocoris rufomarginatus,hemiptera,Rhopalidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Leptura ochraceofasciata,coleoptera,Cerambycidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lucilia illustris,diptera,Calliphoridae,5,4,3,1,3,hitachi|oshima|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Lycaena phlaeas daimio,lepidoptera,Lycaenidae,7,5,3,2,3,hitachi|hitachinaka|oshima|niijima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Macrophya timida,hymenoptera,Tenthredinidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Megachile kobensis,hymenoptera,Megachilidae,13,8,4,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Megachile nipponica,hymenoptera,Megachilidae,1,1,1,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Megachile sculpturalis,hymenoptera,Megachilidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Melanostoma mellinum,diptera,Syrphidae,3,2,3,2,0,hitachi|tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Melanostoma orientale,diptera,Syrphidae,6,5,3,2,3,hitachi|tateyama|oshima|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Metasyrphus nitens,diptera,Syrphidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Mimela splendens,coleoptera,Scarabaeidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Myathropa florea,diptera,Syrphidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Neoitamus angusticornis,diptera,Asilidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Nomada flavopicta,hymenoptera,Apidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Nomada okubira,hymenoptera,Apidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Nyctemera adversata,lepidoptera,Erebidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Oedemeronia testaceithorax,coleoptera,Oedemeridae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Oedemera sexualis,coleoptera,Oedemeridae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Oedemera simplex,coleoptera,Oedemeridae,3,2,2,1,1,tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Orthetrum albistylum speciosum,orthoptera,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Oxycetonia jucunda,coleoptera,Scarabaeidae,3,3,2,1,2,tateyama|oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Papilio helenus nicconicolens,lepidoptera,Papilionidae,3,2,2,0,2,oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Papilio machaon hippocrates,lepidoptera,Papilionidae,4,4,2,2,2,hitachi|tateyama|oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Papilio protenor demetrius,lepidoptera,Papilionidae,2,2,1,0,2,oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Parnara guttata guttata,lepidoptera,Hesperiidae,27,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Paragus haemorrhous,diptera,Syrphidae,21,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Pelopidas mathias oberthuri,lepidoptera,Hesperiidae,15,7,5,3,4,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Phaonia aureola,diptera,Muscidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Phytomia zonata,diptera,Syrphidae,2,2,2,1,1,tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Pieris melete,lepidoptera,Pieridae,2,2,1,1,1,hitachi|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Pieris rapae crucivora,lepidoptera,Pieridae,9,7,4,3,4,hitachi|hitachinaka|tateyama|oshima|niijima|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Polistes jokahamae,hymenoptera,Vespidae,4,3,2,1,2,tateyama|oshima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Polistes snelleni,hymenoptera,Vespidae,2,2,1,1,1,hitachi|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Polistes stigma,hymenoptera,Vespidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Polistes rothneyi,hymenoptera,Vespidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Prosopocoilus inclinatus,coleoptera,Lucanidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Pseudotorynorrhina japonica,coleoptera,Scarabaeidae,3,3,2,2,1,hitachi|tateyama|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Pteronemobius taprobanensis,orthoptera,,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Rhingia laevigata,diptera,Syrphidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Rhynchium quinquecinctum,hymenoptera,Vespidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Sarcophaga peregrina,diptera,Sarcophagidae,4,4,2,2,2,hitachinaka|tateyama|oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Sarcophagidae sp.1,diptera,Sarcophagidae,14,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Scolia histrionica,hymenoptera,Scoliidae,14,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Scolia oculata,hymenoptera,Scoliidae,5,4,3,2,2,hitachi|tateyama|oshima|miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Sphaerophoria macrogaster,diptera,Syrphidae,18,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Sphecodes nippon,hymenoptera,Halictidae,1,1,1,0,1,miyake,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Stenodynerus spp.,hymenoptera,Vespidae,12,8,4,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Stomorhina obsoleta,diptera,Rhiniidae,13,7,5,3,4,hitachi|hitachinaka|tateyama|oshima|niijima|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Tabanus trigeminus,diptera,Tabanidae,2,2,2,0,2,oshima|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Tachina nupta,diptera,Tachinidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Trichius japonicus,coleoptera,Scarabaeidae,1,1,1,0,1,hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Vespa analis,hymenoptera,Vespidae,2,2,1,1,1,tateyama|oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Vespa mandarinia,hymenoptera,Vespidae,1,1,1,1,0,tateyama,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Vespa simillima,hymenoptera,Vespidae,1,1,1,1,0,hitachi,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Vespula flaviceps lewisii,hymenoptera,Vespidae,2,1,2,0,1,oshima,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Xylocopa appendiculata circumvolans,hymenoptera,Apidae,12,8,4,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
Zizeeria maha argia,lepidoptera,Lycaenidae,21,8,5,3,5,hitachi|hitachinaka|tateyama|oshima|niijima|kozu|miyake|hachijo,source_table_S2_not_yet_recovered,blocked_missing_numeric_proboscis_length
