model,n,observed_lr_slope,observed_log_island_on_log_mainland_slope,observed_coupling_ci_low,observed_coupling_ci_high,point_negative_requires_reliability_gt,ci_entirely_negative_requires_reliability_gt,assumed_mainland_log_size_reliability,implied_true_lr_slope,implied_true_lr_ci_low,implied_true_lr_ci_high,point_remains_negative,interval_entirely_negative,row_role,causal_claim_allowed
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,0.925,-0.0012046755107355533,-0.07959208136823792,0.1981092444977468,True,False,classical_measurement_error_sensitivity_not_correction,no
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,0.9,0.026539639058410724,-0.054025194739577787,0.23139005684490632,False,False,classical_measurement_error_sensitivity_not_correction,no
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,0.85,0.08692432370890546,0.0016203820404470104,0.30382476607107733,False,False,classical_measurement_error_sensitivity_not_correction,no
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,0.8,0.15485709394071212,0.0642216559179749,0.38531381395051967,False,False,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,1.0,-0.19634148790829298,-0.28179756417168833,-0.1360521745233244,True,True,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,0.975,-0.17573485939312095,-0.2633821170991675,-0.11389966617776859,True,True,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,0.95,-0.1540436714824136,-0.24399743597019818,-0.09058123634034143,True,True,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,0.925,-0.13117998692788435,-0.22356493423966306,-0.06600235083602646,True,True,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,0.9,-0.10704609767588114,-0.20199729352409812,-0.04005797169258274,True,True,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,0.85,-0.054519397539168235,-0.15505595784904502,0.016409206443147806,True,False,classical_measurement_error_sensitivity_not_correction,no
phylogenetic_animal,61,-0.19634148790829312,0.803658512091707,0.7182024358283117,0.8639478254766756,0.803658512091707,0.8639478254766756,0.8,0.0045731401146336115,-0.10224695521461047,0.07993478184584446,False,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,1.0,-0.40289650706548397,-0.6313429446826373,-0.13365068396797763,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,0.975,-0.3875861610928041,-0.6218901996744998,-0.11143659894151547,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,0.95,-0.3714700074373515,-0.6119399417711971,-0.08805335154523952,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,0.925,-0.3544827103410638,-0.6014518320893376,-0.06340614483024609,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,0.9,-0.33655167451720447,-0.5903810496473748,-0.03738964885330853,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,0.85,-0.2975253024299811,-0.5662858172736909,0.019234489449438064,True,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_fused_petals,30,-0.4028965070654841,0.597103492934516,0.3686570553173627,0.8663493160320224,0.597103492934516,0.8663493160320224,0.8,-0.25362063383185496,-0.5391786808532966,0.08293664504002796,True,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,1.0,-0.1084417320426101,-0.17038869577720628,-0.04913390311866683,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,0.975,-0.0855812636334462,-0.1491166110535449,-0.02475272114735061,True,True,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,0.95,-0.06151761267643163,-0.126724942923375,0.0009116809277192051,True,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,0.925,-0.03615322382984876,-0.10312291435373655,0.027963347979819586,True,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,0.9,-0.009379702269566748,-0.07820966197467372,0.056517885423703396,True,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,0.85,0.04889207994987044,-0.02398670091436028,0.11866599633098018,False,False,classical_measurement_error_sensitivity_not_correction,no
actinomorphic_free_petals,56,-0.10844173204261007,0.8915582679573899,0.8296113042227937,0.9508660968813332,0.8915582679573899,0.9508660968813332,0.8,0.11444783494673727,0.0370141302784921,0.18858262110166635,False,False,classical_measurement_error_sensitivity_not_correction,no
